Hour	HRV (ms)
00:00:00	34.3
00:20:00	46.71
00:40:00	35.99
01:00:00	49.54
01:20:00	46.6
01:40:00	53.6
02:00:00	51.55
02:20:00	53.14
02:40:00	58.4
03:00:00	47.65
03:20:00	51.98
03:40:00	52.81
04:00:00	55.44
04:20:00	56.29
04:40:00	53.13
05:00:00	42.18
05:20:00	54.76
05:40:00	58.72
06:00:00	49.88
06:20:00	49.62
06:40:00	61.34
07:00:00	43.94
07:20:00	42.99
07:40:00	29.99
08:00:00	48.95
08:20:00	37.26
08:40:00	49.73
09:00:00	42.62
09:20:00	38.58
09:40:00	39.65
10:00:00	43.46
10:20:00	48.07
10:40:00	46.58
11:00:00	49.82
11:20:00	42.31
11:40:00	61.95
12:00:00	52.01
12:20:00	60.13
12:40:00	60.09
13:00:00	63.2
13:20:00	56.78
13:40:00	89.07
14:00:00	63.58
14:20:00	72.28
14:40:00	67.02
15:00:00	73.21
15:20:00	69.82
15:40:00	70.14
16:00:00	67.89
16:20:00	66.05
16:40:00	66.15
17:00:00	64.61
17:20:00	60.96
17:40:00	65.23
18:00:00	67.21
18:20:00	62.28
18:40:00	67.81
19:00:00	62.05
19:20:00	52.03
19:40:00	58.02
20:00:00	54.99
20:20:00	59.47
20:40:00	53.7
21:00:00	51.61
21:20:00	57.7
21:40:00	57.58
22:00:00	66.96
22:20:00	56.82
22:40:00	76.03
23:00:00	57.75
23:20:00	65.08
23:40:00	73.42
