Hour	HRV (ms)
00:00:00	41.55
00:20:00	47.41
00:40:00	40.69
01:00:00	41.47
01:20:00	54.19
01:40:00	45.22
02:00:00	42.97
02:20:00	61.2
02:40:00	55.69
03:00:00	52.52
03:20:00	49.77
03:40:00	41.69
04:00:00	52.95
04:20:00	53.78
04:40:00	54.41
05:00:00	56.86
05:20:00	56.49
05:40:00	45.4
06:00:00	37.98
06:20:00	40.66
06:40:00	48.57
07:00:00	38.65
07:20:00	37.5
07:40:00	38.21
08:00:00	41.69
08:20:00	44.15
08:40:00	36.53
09:00:00	44.52
09:20:00	51.77
09:40:00	38.79
10:00:00	41.92
10:20:00	43.24
10:40:00	49.14
11:00:00	45.22
11:20:00	52.33
11:40:00	52.72
12:00:00	53.67
12:20:00	61.16
12:40:00	63.4
13:00:00	66.7
13:20:00	78.07
13:40:00	60.66
14:00:00	62.02
14:20:00	62.02
14:40:00	71.4
15:00:00	64.78
15:20:00	66.46
15:40:00	75.39
16:00:00	62.48
16:20:00	60.69
16:40:00	64.54
17:00:00	61.37
17:20:00	64.54
17:40:00	64.77
18:00:00	58.36
18:20:00	58.3
18:40:00	58.1
19:00:00	62.38
19:20:00	72.94
19:40:00	56.8
20:00:00	65.43
20:20:00	51.87
20:40:00	79.72
21:00:00	65.69
21:20:00	55.62
21:40:00	57.79
22:00:00	62.56
22:20:00	62.93
22:40:00	56.79
23:00:00	57.93
23:20:00	70.78
23:40:00	93.3
