Hour	HR (bpm)
00:00:00	59.95
00:05:00	59.54
00:10:00	61.91
00:15:00	60.77
00:20:00	61.22
00:25:00	62.32
00:30:00	61.84
00:35:00	62.34
00:40:00	62.42
00:45:00	62.68
00:50:00	62.67
00:55:00	60.6
01:00:00	63.51
01:05:00	60.05
01:10:00	62.63
01:15:00	62.19
01:20:00	61.04
01:25:00	62.83
01:30:00	66.78
01:35:00	73.06
01:40:00	82.37
01:45:00	87.84
01:50:00	93.94
01:55:00	64.19
02:00:00	62.33
02:05:00	66.98
02:10:00	67.25
02:15:00	65.77
02:20:00	65.73
02:25:00	65.18
02:30:00	65.32
02:35:00	65.51
02:40:00	68.54
02:45:00	67.42
02:50:00	67.91
02:55:00	68.07
03:00:00	65.73
03:05:00	63.04
03:10:00	66.27
03:15:00	67.24
03:20:00	66.44
03:25:00	69.06
03:30:00	67.23
03:35:00	66.32
03:40:00	68.61
03:45:00	70.53
03:50:00	67.6
03:55:00	67.19
04:00:00	64.41
04:05:00	66.18
04:10:00	64.91
04:15:00	66.54
04:20:00	70.15
04:25:00	65.12
04:30:00	65.33
04:35:00	67.46
04:40:00	68.83
04:45:00	65.61
04:50:00	66.09
04:55:00	65.01
05:00:00	63.73
05:05:00	65.06
05:10:00	66.08
05:15:00	67.01
05:20:00	67.63
05:25:00	66.44
05:30:00	63.94
05:35:00	65.49
05:40:00	65.12
05:45:00	62.93
05:50:00	69.2
05:55:00	62.55
06:00:00	63.94
06:05:00	66.62
06:10:00	70.03
06:15:00	77.09
06:20:00	84.48
06:25:00	90.6
06:30:00	94.05
06:35:00	65.81
06:40:00	68.39
06:45:00	66.78
06:50:00	70.44
06:55:00	67.02
07:00:00	66.89
07:05:00	66.78
07:10:00	65.82
07:15:00	65.57
07:20:00	64.94
07:25:00	70.96
07:30:00	74.75
07:35:00	87.32
07:40:00	86.57
07:45:00	92.07
07:50:00	59.92
07:55:00	62.42
08:00:00	64.08
08:05:00	64.52
08:10:00	60.39
08:15:00	62.31
08:20:00	62.71
08:25:00	61.58
