Hour	HRV (ms)
00:00:00	50.23
00:20:00	40.09
00:40:00	42.26
01:00:00	48.74
01:20:00	45.84
01:40:00	55.23
02:00:00	55.57
02:20:00	53.56
02:40:00	52.94
03:00:00	52.59
03:20:00	52.42
03:40:00	55.41
04:00:00	54.57
04:20:00	51.56
04:40:00	43.0
05:00:00	51.17
05:20:00	41.86
05:40:00	50.45
06:00:00	42.82
06:20:00	61.65
06:40:00	44.63
07:00:00	42.29
07:20:00	44.33
07:40:00	37.76
08:00:00	43.49
08:20:00	33.52
08:40:00	40.39
09:00:00	41.93
09:20:00	47.97
09:40:00	44.83
10:00:00	47.11
10:20:00	47.42
10:40:00	51.05
11:00:00	54.09
11:20:00	47.94
11:40:00	59.53
12:00:00	58.3
12:20:00	65.08
12:40:00	79.19
13:00:00	60.89
13:20:00	66.41
13:40:00	59.81
14:00:00	69.25
14:20:00	70.87
14:40:00	68.56
15:00:00	81.17
15:20:00	69.94
15:40:00	74.33
16:00:00	74.1
16:20:00	67.21
16:40:00	70.47
17:00:00	55.88
17:20:00	59.45
17:40:00	59.76
18:00:00	55.52
18:20:00	49.89
18:40:00	56.82
19:00:00	60.09
19:20:00	56.95
19:40:00	57.82
20:00:00	50.85
20:20:00	47.43
20:40:00	58.39
21:00:00	52.01
21:20:00	49.63
21:40:00	67.57
22:00:00	68.27
22:20:00	59.6
22:40:00	78.92
23:00:00	65.94
23:20:00	70.24
23:40:00	71.47
