Hour	HRV (ms)
00:00:00	44.32
00:20:00	37.34
00:40:00	45.56
01:00:00	41.86
01:20:00	47.97
01:40:00	43.88
02:00:00	50.93
02:20:00	50.52
02:40:00	58.98
03:00:00	46.87
03:20:00	56.46
03:40:00	52.76
04:00:00	54.81
04:20:00	43.73
04:40:00	46.85
05:00:00	56.02
05:20:00	50.57
05:40:00	53.08
06:00:00	57.2
06:20:00	40.83
06:40:00	44.0
07:00:00	39.3
07:20:00	42.87
07:40:00	45.18
08:00:00	38.07
08:20:00	42.56
08:40:00	51.99
09:00:00	49.18
09:20:00	46.22
09:40:00	45.12
10:00:00	50.07
10:20:00	46.63
10:40:00	60.92
11:00:00	49.67
11:20:00	53.68
11:40:00	53.78
12:00:00	53.42
12:20:00	63.75
12:40:00	59.55
13:00:00	63.78
13:20:00	64.96
13:40:00	71.32
14:00:00	63.83
14:20:00	78.27
14:40:00	71.59
15:00:00	89.19
15:20:00	68.77
15:40:00	71.84
16:00:00	71.7
16:20:00	69.99
16:40:00	69.47
17:00:00	64.92
17:20:00	64.0
17:40:00	61.82
18:00:00	57.41
18:20:00	78.52
18:40:00	63.05
19:00:00	73.56
19:20:00	56.19
19:40:00	63.01
20:00:00	61.89
20:20:00	54.78
20:40:00	61.56
21:00:00	56.32
21:20:00	52.11
21:40:00	57.7
22:00:00	63.65
22:20:00	63.61
22:40:00	68.38
23:00:00	72.04
23:20:00	57.65
23:40:00	65.38
