Hour	HRV (ms)
00:00:00	34.42
00:20:00	43.74
00:40:00	68.06
01:00:00	42.25
01:20:00	45.01
01:40:00	48.81
02:00:00	53.49
02:20:00	59.36
02:40:00	60.05
03:00:00	52.4
03:20:00	58.23
03:40:00	58.34
04:00:00	50.94
04:20:00	53.18
04:40:00	53.39
05:00:00	41.7
05:20:00	53.6
05:40:00	47.06
06:00:00	49.45
06:20:00	52.44
06:40:00	39.09
07:00:00	45.75
07:20:00	51.32
07:40:00	39.27
08:00:00	41.73
08:20:00	38.85
08:40:00	45.71
09:00:00	38.06
09:20:00	38.56
09:40:00	40.83
10:00:00	46.82
10:20:00	37.42
10:40:00	47.12
11:00:00	52.1
11:20:00	56.23
11:40:00	54.48
12:00:00	57.09
12:20:00	57.2
12:40:00	58.83
13:00:00	67.61
13:20:00	58.37
13:40:00	66.12
14:00:00	90.76
14:20:00	70.31
14:40:00	67.28
15:00:00	66.38
15:20:00	75.06
15:40:00	71.29
16:00:00	91.37
16:20:00	68.06
16:40:00	67.25
17:00:00	62.16
17:20:00	65.7
17:40:00	66.53
18:00:00	63.56
18:20:00	52.95
18:40:00	60.53
19:00:00	61.15
19:20:00	59.78
19:40:00	52.54
20:00:00	51.11
20:20:00	61.26
20:40:00	51.91
21:00:00	64.95
21:20:00	66.12
21:40:00	51.25
22:00:00	65.38
22:20:00	71.19
22:40:00	51.51
23:00:00	76.25
23:20:00	67.95
23:40:00	57.44
