Hour	HRV (ms)
00:00:00	44.41
00:20:00	44.3
00:40:00	41.27
01:00:00	56.64
01:20:00	49.46
01:40:00	58.15
02:00:00	78.6
02:20:00	49.98
02:40:00	60.19
03:00:00	52.49
03:20:00	57.54
03:40:00	44.35
04:00:00	55.7
04:20:00	48.26
04:40:00	47.54
05:00:00	42.2
05:20:00	48.3
05:40:00	51.02
06:00:00	43.65
06:20:00	44.84
06:40:00	56.76
07:00:00	34.2
07:20:00	45.23
07:40:00	46.35
08:00:00	41.24
08:20:00	42.75
08:40:00	41.79
09:00:00	39.9
09:20:00	41.64
09:40:00	40.37
10:00:00	39.02
10:20:00	40.19
10:40:00	71.41
11:00:00	51.95
11:20:00	52.34
11:40:00	54.52
12:00:00	58.24
12:20:00	53.9
12:40:00	58.18
13:00:00	67.37
13:20:00	68.86
13:40:00	58.3
14:00:00	66.44
14:20:00	71.92
14:40:00	73.79
15:00:00	75.92
15:20:00	62.08
15:40:00	65.07
16:00:00	72.43
16:20:00	67.1
16:40:00	75.01
17:00:00	68.83
17:20:00	63.39
17:40:00	58.98
18:00:00	65.35
18:20:00	62.78
18:40:00	62.41
19:00:00	56.77
19:20:00	59.34
19:40:00	53.66
20:00:00	64.33
20:20:00	56.88
20:40:00	67.65
21:00:00	53.55
21:20:00	46.82
21:40:00	61.88
22:00:00	50.3
22:20:00	56.45
22:40:00	60.28
23:00:00	89.31
23:20:00	66.66
23:40:00	69.22
