Hour	HR (bpm)
00:00:00	60.43
00:05:00	60.23
00:10:00	56.57
00:15:00	61.49
00:20:00	60.35
00:25:00	63.46
00:30:00	60.33
00:35:00	64.7
00:40:00	60.87
00:45:00	60.69
00:50:00	57.74
00:55:00	61.79
01:00:00	58.94
01:05:00	60.24
01:10:00	65.2
01:15:00	62.54
01:20:00	65.39
01:25:00	63.23
01:30:00	61.61
01:35:00	64.23
01:40:00	62.49
01:45:00	68.05
01:50:00	65.91
01:55:00	63.3
02:00:00	65.73
02:05:00	62.11
02:10:00	66.59
02:15:00	64.44
02:20:00	64.32
02:25:00	63.79
02:30:00	62.47
02:35:00	65.16
02:40:00	63.59
02:45:00	70.74
02:50:00	64.09
02:55:00	67.9
03:00:00	66.0
03:05:00	65.53
03:10:00	64.76
03:15:00	66.0
03:20:00	66.08
03:25:00	64.8
03:30:00	64.86
03:35:00	65.14
03:40:00	65.16
03:45:00	65.41
03:50:00	67.68
03:55:00	66.82
04:00:00	68.33
04:05:00	68.39
04:10:00	67.08
04:15:00	70.29
04:20:00	69.08
04:25:00	64.8
04:30:00	66.39
04:35:00	65.84
04:40:00	65.31
04:45:00	62.64
04:50:00	67.36
04:55:00	68.44
05:00:00	70.2
05:05:00	67.03
05:10:00	71.55
05:15:00	66.54
05:20:00	68.37
05:25:00	67.5
05:30:00	69.26
05:35:00	64.62
05:40:00	67.35
05:45:00	65.76
05:50:00	67.52
05:55:00	65.56
06:00:00	67.07
06:05:00	64.44
06:10:00	74.19
06:15:00	75.87
06:20:00	85.22
06:25:00	89.4
06:30:00	95.95
06:35:00	64.06
06:40:00	67.46
06:45:00	63.25
06:50:00	67.7
06:55:00	65.6
07:00:00	65.13
07:05:00	62.97
07:10:00	64.75
07:15:00	65.84
07:20:00	63.44
07:25:00	62.99
07:30:00	64.11
07:35:00	64.57
07:40:00	59.22
07:45:00	61.45
07:50:00	64.68
07:55:00	65.5
08:00:00	64.7
08:05:00	61.9
08:10:00	58.79
08:15:00	59.83
08:20:00	65.49
08:25:00	64.9
08:30:00	62.02
08:35:00	64.87
08:40:00	61.86
08:45:00	59.1
08:50:00	62.75
08:55:00	60.83
09:00:00	63.24
09:05:00	55.85
09:10:00	60.74
09:15:00	63.74
09:20:00	58.19
09:25:00	59.06
09:30:00	63.48
09:35:00	60.52
09:40:00	60.32
09:45:00	59.31
09:50:00	62.64
09:55:00	59.99
10:00:00	60.18
10:05:00	58.78
10:10:00	61.55
10:15:00	60.82
10:20:00	59.42
10:25:00	60.72
10:30:00	59.11
10:35:00	58.87
10:40:00	60.43
10:45:00	57.64
10:50:00	56.49
10:55:00	57.93
11:00:00	58.08
11:05:00	59.41
11:10:00	61.47
11:15:00	59.15
11:20:00	56.89
11:25:00	59.56
11:30:00	57.81
11:35:00	56.91
11:40:00	60.89
11:45:00	64.42
11:50:00	58.0
11:55:00	62.41
12:00:00	61.16
12:05:00	57.28
12:10:00	59.71
12:15:00	59.21
12:20:00	57.47
12:25:00	58.12
12:30:00	59.16
12:35:00	57.92
12:40:00	60.13
12:45:00	60.69
12:50:00	60.81
12:55:00	60.77
13:00:00	62.41
13:05:00	60.25
13:10:00	59.94
13:15:00	62.66
13:20:00	59.68
13:25:00	56.59
13:30:00	62.82
13:35:00	62.24
13:40:00	59.62
13:45:00	61.13
13:50:00	61.52
13:55:00	60.74
14:00:00	62.16
14:05:00	61.47
14:10:00	61.85
14:15:00	63.16
14:20:00	63.57
14:25:00	61.03
14:30:00	61.9
14:35:00	64.77
14:40:00	63.45
14:45:00	66.6
14:50:00	62.8
14:55:00	63.03
15:00:00	63.8
15:05:00	68.65
15:10:00	66.15
15:15:00	61.03
15:20:00	68.26
15:25:00	69.49
15:30:00	81.16
15:35:00	82.71
15:40:00	87.55
15:45:00	97.21
15:50:00	68.77
15:55:00	69.63
16:00:00	66.48
16:05:00	68.15
16:10:00	66.65
16:15:00	64.77
16:20:00	68.3
16:25:00	67.43
16:30:00	66.47
16:35:00	68.65
16:40:00	68.85
16:45:00	65.41
16:50:00	69.55
16:55:00	70.42
17:00:00	70.86
17:05:00	73.94
17:10:00	70.69
17:15:00	68.73
17:20:00	72.1
17:25:00	70.24
17:30:00	74.71
17:35:00	80.04
17:40:00	92.1
17:45:00	95.32
17:50:00	103.79
17:55:00	69.88
18:00:00	73.73
18:05:00	68.56
18:10:00	72.99
18:15:00	69.94
18:20:00	70.77
18:25:00	73.47
18:30:00	73.31
18:35:00	73.75
18:40:00	72.44
18:45:00	72.98
18:50:00	72.28
18:55:00	74.39
19:00:00	72.23
19:05:00	72.97
19:10:00	74.42
19:15:00	71.11
19:20:00	69.4
19:25:00	81.3
19:30:00	87.88
19:35:00	91.92
19:40:00	100.47
19:45:00	101.96
19:50:00	70.15
19:55:00	75.96
20:00:00	71.89
20:05:00	74.14
20:10:00	71.59
20:15:00	74.66
20:20:00	74.7
20:25:00	72.6
20:30:00	73.79
20:35:00	74.38
20:40:00	70.81
20:45:00	75.4
20:50:00	70.39
20:55:00	72.88
21:00:00	72.65
21:05:00	75.89
21:10:00	74.61
21:15:00	71.5
21:20:00	72.83
21:25:00	71.78
21:30:00	70.75
21:35:00	77.34
21:40:00	74.44
21:45:00	72.11
21:50:00	75.08
21:55:00	72.49
22:00:00	72.56
22:05:00	70.17
22:10:00	72.32
22:15:00	71.51
22:20:00	73.9
22:25:00	72.81
22:30:00	73.73
22:35:00	79.69
22:40:00	84.35
22:45:00	87.89
22:50:00	95.46
22:55:00	102.64
23:00:00	73.35
23:05:00	70.97
23:10:00	73.23
23:15:00	72.63
23:20:00	72.71
23:25:00	72.92
23:30:00	71.45
23:35:00	71.19
23:40:00	70.8
23:45:00	68.49
23:50:00	70.93
23:55:00	70.18
