Time (s),Heart Rate (bpm)
0.0,68.78
1.0033444816053512,75.25
2.0066889632107023,78.46
3.0100334448160533,85.79
4.013377926421405,80.91
5.016722408026756,79.69
6.020066889632107,77.67
7.023411371237458,65.3
8.02675585284281,58.34
9.03010033444816,61.18
10.033444816053512,60.5
11.036789297658864,58.64
12.040133779264213,60.52
13.043478260869565,73.02
14.046822742474916,79.99
15.050167224080267,75.01
16.05351170568562,78.02
17.05685618729097,80.62
18.06020066889632,78.68
19.06354515050167,65.68
20.066889632107024,62.1
21.070234113712374,57.43
22.073578595317727,58.01
23.076923076923077,56.58
24.080267558528426,74.94
25.08361204013378,68.49
26.08695652173913,79.97
27.090301003344482,70.19
28.093645484949832,80.14
29.096989966555185,79.66
30.100334448160535,78.97
31.103678929765888,76.76
32.10702341137124,69.35
33.11036789297659,60.06
34.11371237458194,57.02
35.11705685618729,58.37
36.12040133779264,75.94
37.123745819397996,60.3
38.12709030100334,67.39
39.130434782608695,74.17
40.13377926421405,84.18
41.137123745819395,73.83
42.14046822742475,81.27
43.1438127090301,73.64
44.147157190635454,68.94
45.1505016722408,65.46
46.15384615384615,64.39
47.15719063545151,53.58
48.16053511705685,61.61
49.163879598662206,65.27
50.16722408026756,63.03
51.17056856187291,78.06
52.17391304347826,80.79
53.17725752508361,76.51
54.180602006688964,81.28
55.18394648829432,73.73
56.187290969899664,72.38
57.19063545150502,69.29
58.19397993311037,65.39
59.197324414715716,58.7
60.20066889632107,55.45
61.20401337792642,56.9
62.207357859531776,66.42
63.21070234113712,69.56
64.21404682274247,77.8
65.21739130434783,76.31
66.22073578595318,85.49
67.22408026755853,69.44
68.22742474916387,73.18
69.23076923076923,72.0
70.23411371237458,70.55
71.23745819397993,52.17
72.24080267558529,60.78
73.24414715719064,68.47
74.24749163879599,62.45
75.25083612040133,67.85
76.25418060200668,76.88
77.25752508361204,81.83
78.26086956521739,82.06
79.26421404682274,75.71
80.2675585284281,77.01
81.27090301003345,73.42
82.27424749163879,66.23
83.27759197324414,61.39
84.2809364548495,55.19
85.28428093645485,59.02
86.2876254180602,70.62
87.29096989966555,61.83
88.29431438127091,78.24
89.29765886287625,74.61
90.3010033444816,81.4
91.30434782608695,75.64
92.3076923076923,78.31
93.31103678929766,78.23
94.31438127090301,68.56
95.31772575250837,69.81
96.3210702341137,64.25
97.32441471571906,60.46
98.32775919732441,52.7
99.33110367892976,56.33
100.33444816053512,59.5
101.33779264214047,84.7
102.34113712374582,75.86
103.34448160535118,77.01
104.34782608695652,77.71
105.35117056856187,85.38
106.35451505016722,65.69
107.35785953177258,59.99
108.36120401337793,64.05
109.36454849498328,64.56
110.36789297658864,60.25
111.37123745819397,53.2
112.37458193979933,67.95
113.37792642140468,68.08
114.38127090301003,74.35
115.38461538461539,73.84
116.38795986622074,73.85
117.3913043478261,78.3
118.39464882943143,84.17
119.39799331103679,70.52
120.40133779264214,70.9
121.40468227424749,54.53
122.40802675585284,60.01
123.4113712374582,64.64
124.41471571906355,66.18
125.41806020066889,62.91
126.42140468227424,86.71
127.4247491638796,76.23
128.42809364548495,85.41
129.4314381270903,77.94
130.43478260869566,80.18
131.438127090301,64.5
132.44147157190636,76.89
133.44481605351172,62.95
134.44816053511707,60.21
135.45150501672242,69.82
136.45484949832775,65.46
137.4581939799331,66.46
138.46153846153845,72.63
139.4648829431438,73.3
140.46822742474916,83.26
141.4715719063545,83.92
142.47491638795987,81.63
143.47826086956522,74.11
144.48160535117057,79.14
145.48494983277592,64.28
146.48829431438128,55.81
147.49163879598663,56.55
148.49498327759198,55.66
149.49832775919734,67.73
150.50167224080266,71.0
151.50501672240802,72.96
152.50836120401337,74.81
153.51170568561872,76.46
154.51505016722408,77.85
155.51839464882943,78.93
156.52173913043478,79.65
157.52508361204013,79.98
158.5284280936455,79.91
159.53177257525084,79.44
160.5351170568562,78.6
161.53846153846155,77.41
162.5418060200669,75.92
163.54515050167225,74.19
164.54849498327758,72.3
165.55183946488293,70.31
166.55518394648828,68.31
167.55852842809364,66.38
168.561872909699,64.6
169.56521739130434,63.03
170.5685618729097,61.74
171.57190635451505,60.78
172.5752508361204,60.19
173.57859531772576,60.0
174.5819397993311,60.21
175.58528428093646,60.81
176.58862876254182,61.78
177.59197324414717,63.08
178.5953177257525,64.65
179.59866220735785,66.44
180.6020066889632,68.38
181.60535117056855,70.38
182.6086956521739,72.36
183.61204013377926,74.25
184.6153846153846,75.97
185.61872909698997,77.45
186.62207357859532,78.63
187.62541806020067,79.46
188.62876254180603,79.92
189.63210702341138,79.97
190.63545150501673,79.63
191.63879598662209,78.9
192.6421404682274,77.81
193.64548494983276,76.41
194.64882943143812,74.75
195.65217391304347,72.9
196.65551839464882,70.94
197.65886287625418,68.93
198.66220735785953,66.97
199.66555183946488,65.13
200.66889632107024,63.49
201.6722408026756,62.11
202.67558528428094,61.04
203.6789297658863,60.34
204.68227424749165,60.02
205.685618729097,60.1
206.68896321070235,60.58
207.69230769230768,61.44
208.69565217391303,62.64
209.69899665551839,64.14
210.70234113712374,65.87
211.7056856187291,67.77
212.70903010033445,69.75
213.7123745819398,71.75
214.71571906354515,73.68
215.7190635451505,75.46
216.72240802675586,77.02
217.7257525083612,78.3
218.72909698996656,79.24
219.73244147157192,79.82
220.73578595317727,80.0
221.7391304347826,79.78
222.74247491638795,79.17
223.7458193979933,78.19
224.74916387959865,76.88
225.752508361204,75.29
226.75585284280936,73.49
227.7591973244147,71.55
228.76254180602007,69.55
229.76588628762542,67.57
230.76923076923077,65.69
231.77257525083613,63.98
232.77591973244148,62.51
233.77926421404683,61.34
234.7826086956522,60.51
235.7859531772575,60.07
236.78929765886286,60.03
237.79264214046822,60.39
238.79598662207357,61.13
239.79933110367892,62.23
240.80267558528428,63.64
241.80602006688963,65.31
242.80936454849498,67.16
243.81270903010034,69.13
244.8160535117057,71.13
245.81939799331104,73.09
246.8227424749164,74.93
247.82608695652175,76.56
248.8294314381271,77.93
249.83277591973243,78.99
250.83612040133778,79.68
251.83946488294313,79.99
252.8428093645485,79.89
253.84615384615384,79.4
254.8494983277592,78.53
255.85284280936455,77.32
256.8561872909699,75.81
257.8595317725752,74.07
258.8628762541806,72.17
259.86622073578593,70.18
260.8695652173913,68.18
261.87290969899664,66.26
262.876254180602,64.49
263.87959866220734,62.93
264.8829431438127,61.66
265.88628762541805,60.73
266.88963210702343,60.17
267.89297658862876,60.0
268.89632107023414,60.24
269.89966555183946,60.86
270.90301003344484,61.85
271.90635451505017,63.17
272.9096989966555,64.77
273.9130434782609,66.57
274.9163879598662,68.51
275.9197324414716,70.51
276.9230769230769,72.49
277.9264214046823,74.37
278.9297658862876,76.08
279.933110367893,77.54
280.9364548494983,78.7
281.9397993311037,79.51
282.943143812709,79.93
283.9464882943144,79.96
284.94983277591973,79.59
285.95317725752506,78.84
286.95652173913044,77.73
287.95986622073576,76.31
288.96321070234114,74.63
289.96655518394647,72.77
290.96989966555185,70.8
291.9732441471572,68.8
292.97658862876256,66.84
293.9799331103679,65.02
294.98327759197326,63.39
295.9866220735786,62.03
296.98996655518397,60.98
297.9933110367893,60.3
298.9966555183947,60.01
300.0,60.12
