Time (s),Heart Rate (bpm)
0.0,66.55
1.001669449081803,72.72
2.003338898163606,82.24
3.005008347245409,85.72
4.006677796327212,79.36
5.0083472454090145,78.4
6.010016694490818,69.15
7.011686143572621,64.8
8.013355592654424,59.63
9.015025041736227,54.01
10.016694490818029,59.34
11.018363939899833,60.74
12.020033388981636,60.47
13.021702838063439,68.57
14.023372287145243,82.53
15.025041736227045,73.05
16.026711185308848,78.03
17.02838063439065,76.34
18.030050083472453,65.6
19.031719532554256,66.42
20.033388981636058,65.73
21.035058430717864,62.72
22.036727879799667,57.42
23.03839732888147,56.66
24.040066777963272,66.03
25.041736227045075,63.24
26.043405676126877,61.27
27.04507512520868,73.01
28.046744574290486,89.09
29.04841402337229,80.76
30.05008347245409,81.76
31.051752921535893,75.27
32.053422370617696,71.7
33.0550918196995,68.92
34.0567612687813,54.49
35.058430717863104,61.66
36.060100166944906,57.58
37.06176961602671,68.72
38.06343906510851,75.3
39.065108514190314,78.65
40.066777963272116,73.0
41.068447412353926,80.03
42.07011686143573,93.3
43.07178631051753,80.84
44.073455759599334,70.25
45.075125208681136,67.13
46.07679465776294,58.8
47.07846410684474,69.08
48.080133555926544,68.16
49.08180300500835,57.03
50.08347245409015,84.08
51.08514190317195,83.21
52.086811352253754,82.62
53.08848080133556,77.19
54.09015025041736,77.26
55.09181969949916,77.27
56.09348914858097,68.74
57.095158597662774,67.29
58.09682804674458,65.53
59.09849749582638,62.33
60.10016694490818,59.76
61.101836393989984,65.96
62.10350584307179,62.76
63.10517529215359,73.95
64.10684474123539,81.44
65.1085141903172,79.95
66.110183639399,88.06
67.1118530884808,83.78
68.1135225375626,78.81
69.1151919866444,63.22
70.11686143572621,71.09
71.11853088480801,55.55
72.12020033388981,51.36
73.12186978297161,62.09
74.12353923205342,64.96
75.12520868113522,69.44
76.12687813021702,72.97
77.12854757929883,80.02
78.13021702838063,83.6
79.13188647746243,79.7
80.13355592654423,79.32
81.13522537562605,74.98
82.13689482470785,72.14
83.13856427378965,67.78
84.14023372287146,59.7
85.14190317195326,59.28
86.14357262103506,57.33
87.14524207011686,64.98
88.14691151919867,72.41
89.14858096828047,68.47
90.15025041736227,72.74
91.15191986644408,77.22
92.15358931552588,80.25
93.15525876460768,68.45
94.15692821368948,65.28
95.15859766277129,64.4
96.16026711185309,72.98
97.16193656093489,60.59
98.1636060100167,73.12
99.1652754590985,61.07
100.1669449081803,63.79
101.1686143572621,73.42
102.1702838063439,73.68
103.1719532554257,80.21
104.17362270450751,74.63
105.17529215358931,74.41
106.17696160267111,75.58
107.17863105175292,67.09
108.18030050083472,55.02
109.18196994991652,69.42
110.18363939899832,65.06
111.18530884808013,61.58
112.18697829716194,61.85
113.18864774624375,64.49
114.19031719532555,73.75
115.19198664440735,79.54
116.19365609348915,82.63
117.19532554257096,81.23
118.19699499165276,78.22
119.19866444073456,72.5
120.20033388981636,70.53
121.20200333889817,53.12
122.20367278797997,54.88
123.20534223706177,61.95
124.20701168614357,63.27
125.20868113522538,61.22
126.21035058430718,75.85
127.21202003338898,79.11
128.21368948247078,84.5
129.2153589315526,75.17
130.2170283806344,83.09
131.2186978297162,72.22
132.220367278798,70.98
133.2220367278798,68.47
134.2237061769616,58.83
135.22537562604342,58.75
136.2270450751252,55.46
137.22871452420702,72.85
138.2303839732888,71.01
139.23205342237063,77.95
140.23372287145241,81.63
141.23539232053423,87.08
142.23706176961602,81.95
143.23873121869784,77.1
144.24040066777962,63.1
145.24207011686144,67.96
146.24373956594323,68.08
147.24540901502505,59.28
148.24707846410683,58.11
149.24874791318865,64.08
150.25041736227044,72.13
151.25208681135226,81.47
152.25375626043405,73.91
153.25542570951586,83.48
154.25709515859765,82.29
155.25876460767947,84.17
156.26043405676126,76.87
157.26210350584307,62.58
158.26377295492486,65.51
159.26544240400668,63.12
160.26711185308847,63.11
161.26878130217028,51.63
162.2704507512521,71.65
163.2721202003339,75.23
164.2737896494157,66.15
165.2754590984975,81.9
166.2771285475793,83.41
167.2787979966611,80.48
168.28046744574291,77.17
169.2821368948247,75.89
170.28380634390652,70.5
171.2854757929883,64.97
172.28714524207012,67.53
173.2888146911519,52.24
174.29048414023373,62.05
175.29215358931552,69.53
176.29382303839733,80.23
177.29549248747912,81.25
178.29716193656094,85.36
179.29883138564273,83.79
180.30050083472455,76.94
181.30217028380633,78.74
182.30383973288815,79.29
183.30550918196994,54.96
184.30717863105176,69.54
185.30884808013354,51.58
186.31051752921536,53.08
187.31218697829715,65.07
188.31385642737897,71.35
189.31552587646075,77.1
190.31719532554257,81.33
191.31886477462436,82.07
192.32053422370618,92.13
193.322203672788,76.84
194.32387312186978,75.61
