Hour	HRV (ms)
00:00:00	39.08
00:20:00	37.32
00:40:00	43.35
01:00:00	48.77
01:20:00	46.6
01:40:00	38.46
02:00:00	72.53
02:20:00	49.72
02:40:00	57.81
03:00:00	54.17
03:20:00	61.01
03:40:00	55.14
04:00:00	45.27
04:20:00	56.13
04:40:00	49.86
05:00:00	51.79
05:20:00	58.44
05:40:00	50.45
06:00:00	48.35
06:20:00	50.48
06:40:00	35.99
07:00:00	44.0
07:20:00	41.9
07:40:00	62.51
08:00:00	66.59
08:20:00	34.41
08:40:00	39.58
09:00:00	43.51
09:20:00	51.23
09:40:00	49.34
10:00:00	43.59
10:20:00	38.97
10:40:00	52.22
11:00:00	54.19
11:20:00	55.65
11:40:00	50.37
12:00:00	56.16
12:20:00	56.6
12:40:00	62.25
13:00:00	55.64
13:20:00	65.03
13:40:00	63.88
14:00:00	69.38
14:20:00	66.51
14:40:00	72.36
15:00:00	80.38
15:20:00	65.55
15:40:00	63.66
16:00:00	58.33
16:20:00	66.5
16:40:00	68.67
17:00:00	65.07
17:20:00	69.93
17:40:00	63.56
18:00:00	59.37
18:20:00	64.84
18:40:00	59.85
19:00:00	53.62
19:20:00	59.47
19:40:00	59.06
20:00:00	54.19
20:20:00	63.39
20:40:00	59.12
21:00:00	52.43
21:20:00	56.23
21:40:00	63.75
22:00:00	60.35
22:20:00	58.04
22:40:00	64.63
23:00:00	68.92
23:20:00	65.12
23:40:00	76.02
