Hour	HR (bpm)
00:00:00	62.83
00:05:00	59.11
00:10:00	59.37
00:15:00	59.9
00:20:00	60.04
00:25:00	64.43
00:30:00	61.1
00:35:00	63.36
00:40:00	62.74
00:45:00	61.22
00:50:00	63.85
00:55:00	66.18
01:00:00	63.43
01:05:00	62.82
01:10:00	65.87
01:15:00	62.98
01:20:00	70.46
01:25:00	58.56
01:30:00	68.97
01:35:00	76.83
01:40:00	78.44
01:45:00	86.81
01:50:00	92.24
01:55:00	64.61
02:00:00	67.02
02:05:00	63.31
02:10:00	62.89
02:15:00	64.89
02:20:00	62.53
02:25:00	65.93
02:30:00	65.6
02:35:00	64.19
02:40:00	62.76
02:45:00	65.01
02:50:00	65.11
02:55:00	67.23
03:00:00	66.0
03:05:00	68.34
03:10:00	70.22
03:15:00	64.2
03:20:00	67.03
03:25:00	66.36
03:30:00	63.46
03:35:00	64.43
03:40:00	62.9
03:45:00	65.35
03:50:00	66.1
03:55:00	66.72
04:00:00	65.77
04:05:00	67.64
04:10:00	68.42
04:15:00	64.77
04:20:00	68.69
04:25:00	64.19
04:30:00	66.25
04:35:00	64.58
04:40:00	68.02
04:45:00	66.64
04:50:00	66.76
04:55:00	68.0
05:00:00	62.73
05:05:00	66.13
05:10:00	66.06
05:15:00	63.48
05:20:00	70.25
05:25:00	62.62
05:30:00	69.49
05:35:00	65.94
05:40:00	67.72
05:45:00	66.43
05:50:00	67.25
05:55:00	66.43
06:00:00	65.0
06:05:00	66.9
06:10:00	66.72
06:15:00	66.36
06:20:00	65.56
06:25:00	66.45
06:30:00	63.16
06:35:00	64.75
06:40:00	63.86
06:45:00	65.43
06:50:00	65.4
06:55:00	62.14
07:00:00	68.62
07:05:00	64.3
07:10:00	63.56
07:15:00	63.95
07:20:00	65.62
07:25:00	64.05
07:30:00	65.58
07:35:00	64.27
07:40:00	63.53
07:45:00	63.15
07:50:00	63.01
07:55:00	62.06
08:00:00	62.81
08:05:00	59.03
08:10:00	63.95
08:15:00	64.78
08:20:00	60.17
08:25:00	60.88
08:30:00	63.38
08:35:00	64.5
08:40:00	64.8
08:45:00	61.64
08:50:00	63.9
08:55:00	59.86
09:00:00	60.28
09:05:00	64.27
09:10:00	66.11
09:15:00	61.63
09:20:00	59.17
09:25:00	63.17
09:30:00	60.12
09:35:00	59.99
09:40:00	60.47
09:45:00	63.42
09:50:00	63.75
09:55:00	70.39
10:00:00	79.18
10:05:00	80.28
10:10:00	91.2
10:15:00	61.09
10:20:00	58.87
10:25:00	63.32
10:30:00	63.22
10:35:00	62.51
10:40:00	57.26
10:45:00	60.42
10:50:00	69.5
10:55:00	70.38
11:00:00	77.66
11:05:00	84.16
11:10:00	91.69
11:15:00	59.34
11:20:00	62.63
11:25:00	56.63
11:30:00	58.76
11:35:00	61.95
11:40:00	61.51
11:45:00	63.16
11:50:00	59.0
11:55:00	57.41
12:00:00	61.45
12:05:00	59.86
12:10:00	67.33
12:15:00	73.76
12:20:00	76.66
12:25:00	83.1
12:30:00	91.8
12:35:00	59.77
