Hour	HRV (ms)
00:00:00	37.06
00:20:00	48.53
00:40:00	47.94
01:00:00	46.84
01:20:00	42.43
01:40:00	52.75
02:00:00	45.26
02:20:00	62.25
02:40:00	53.2
03:00:00	47.09
03:20:00	58.28
03:40:00	56.99
04:00:00	48.46
04:20:00	45.91
04:40:00	60.57
05:00:00	59.07
05:20:00	54.69
05:40:00	68.3
06:00:00	45.46
06:20:00	49.61
06:40:00	43.86
07:00:00	48.34
07:20:00	46.07
07:40:00	41.95
08:00:00	39.92
08:20:00	30.49
08:40:00	45.31
09:00:00	38.7
09:20:00	46.57
09:40:00	45.62
10:00:00	47.61
10:20:00	54.35
10:40:00	47.59
11:00:00	47.14
11:20:00	54.67
11:40:00	64.09
12:00:00	51.96
12:20:00	68.36
12:40:00	62.59
13:00:00	74.41
13:20:00	60.79
13:40:00	78.63
14:00:00	87.22
14:20:00	67.42
14:40:00	67.0
15:00:00	67.26
15:20:00	76.16
15:40:00	78.28
16:00:00	68.99
16:20:00	66.9
16:40:00	63.88
17:00:00	59.53
17:20:00	73.51
17:40:00	63.5
18:00:00	71.25
18:20:00	63.15
18:40:00	54.49
19:00:00	62.69
19:20:00	54.13
19:40:00	61.75
20:00:00	47.37
20:20:00	52.65
20:40:00	53.39
21:00:00	60.18
21:20:00	63.91
21:40:00	59.01
22:00:00	61.24
22:20:00	55.96
22:40:00	61.83
23:00:00	67.07
23:20:00	70.52
23:40:00	69.82
