Hour	HR (bpm)
00:00:00	61.16
00:05:00	59.87
00:10:00	64.75
00:15:00	60.13
00:20:00	60.14
00:25:00	60.46
00:30:00	59.53
00:35:00	62.3
00:40:00	61.34
00:45:00	62.6
00:50:00	63.68
00:55:00	62.93
01:00:00	64.22
01:05:00	60.36
01:10:00	62.38
01:15:00	63.29
01:20:00	78.87
01:25:00	77.91
01:30:00	88.1
01:35:00	93.39
01:40:00	62.23
01:45:00	65.04
01:50:00	66.73
01:55:00	62.03
02:00:00	62.75
02:05:00	66.7
02:10:00	62.19
02:15:00	64.22
02:20:00	63.91
02:25:00	63.81
02:30:00	65.16
02:35:00	65.29
02:40:00	65.27
02:45:00	64.45
02:50:00	67.51
02:55:00	70.02
03:00:00	65.22
03:05:00	66.69
03:10:00	63.13
03:15:00	67.96
03:20:00	67.38
03:25:00	68.0
03:30:00	66.99
03:35:00	64.0
03:40:00	68.24
03:45:00	67.17
03:50:00	66.61
03:55:00	64.81
04:00:00	66.31
04:05:00	63.8
04:10:00	64.73
04:15:00	69.86
04:20:00	67.63
04:25:00	66.82
04:30:00	67.11
04:35:00	66.15
04:40:00	65.81
04:45:00	68.39
04:50:00	69.15
04:55:00	68.6
05:00:00	66.21
05:05:00	70.08
05:10:00	68.88
05:15:00	66.95
05:20:00	68.64
05:25:00	67.5
05:30:00	65.98
05:35:00	66.21
05:40:00	65.98
05:45:00	69.3
05:50:00	67.06
05:55:00	71.43
06:00:00	66.22
06:05:00	66.33
06:10:00	67.33
06:15:00	67.41
06:20:00	68.24
06:25:00	65.67
06:30:00	64.67
06:35:00	65.91
06:40:00	64.33
06:45:00	62.39
06:50:00	63.78
06:55:00	61.64
07:00:00	64.21
07:05:00	64.61
07:10:00	63.86
07:15:00	65.57
07:20:00	65.06
07:25:00	64.19
07:30:00	64.68
07:35:00	64.1
07:40:00	60.97
07:45:00	65.97
07:50:00	63.48
07:55:00	64.05
08:00:00	69.52
08:05:00	71.13
08:10:00	82.92
08:15:00	88.12
08:20:00	92.49
08:25:00	60.54
08:30:00	62.01
08:35:00	62.09
08:40:00	58.82
08:45:00	60.16
08:50:00	61.27
08:55:00	62.29
09:00:00	62.87
09:05:00	60.03
09:10:00	60.03
09:15:00	60.64
09:20:00	60.76
09:25:00	66.21
09:30:00	63.28
09:35:00	63.02
09:40:00	62.37
09:45:00	57.7
09:50:00	57.76
09:55:00	62.38
10:00:00	62.42
10:05:00	58.69
10:10:00	62.69
10:15:00	58.92
10:20:00	59.07
10:25:00	58.87
10:30:00	56.96
10:35:00	58.3
10:40:00	62.86
10:45:00	56.44
10:50:00	59.8
10:55:00	61.75
11:00:00	63.1
11:05:00	61.05
11:10:00	62.38
11:15:00	60.67
11:20:00	61.73
11:25:00	61.95
11:30:00	59.04
11:35:00	62.57
11:40:00	59.83
11:45:00	62.57
11:50:00	57.45
11:55:00	57.77
12:00:00	58.41
12:05:00	60.35
12:10:00	56.09
12:15:00	60.92
12:20:00	61.3
12:25:00	64.77
12:30:00	63.9
12:35:00	59.24
12:40:00	58.95
12:45:00	60.17
12:50:00	55.72
12:55:00	62.6
13:00:00	62.21
13:05:00	62.23
13:10:00	57.52
13:15:00	62.31
13:20:00	63.7
13:25:00	62.74
13:30:00	60.09
13:35:00	66.29
13:40:00	71.63
13:45:00	77.75
13:50:00	83.29
13:55:00	94.04
14:00:00	61.98
14:05:00	58.58
14:10:00	59.02
14:15:00	60.91
14:20:00	63.61
14:25:00	64.16
14:30:00	67.55
14:35:00	70.48
14:40:00	77.11
14:45:00	79.17
14:50:00	87.62
14:55:00	93.43
15:00:00	63.71
15:05:00	66.58
15:10:00	63.94
15:15:00	66.14
15:20:00	63.44
15:25:00	67.83
15:30:00	61.93
15:35:00	65.65
15:40:00	67.53
15:45:00	68.48
15:50:00	66.76
15:55:00	65.97
16:00:00	70.25
16:05:00	68.84
16:10:00	68.8
16:15:00	66.34
16:20:00	69.68
16:25:00	67.77
16:30:00	67.05
16:35:00	69.6
16:40:00	71.0
16:45:00	67.08
16:50:00	67.69
16:55:00	71.12
17:00:00	69.62
17:05:00	69.3
17:10:00	72.48
17:15:00	72.07
17:20:00	71.02
17:25:00	68.58
17:30:00	70.97
17:35:00	70.43
17:40:00	71.05
17:45:00	67.42
17:50:00	66.34
17:55:00	69.67
18:00:00	73.8
18:05:00	77.96
18:10:00	84.62
18:15:00	88.38
18:20:00	95.79
18:25:00	103.6
18:30:00	71.23
18:35:00	73.3
18:40:00	71.93
18:45:00	73.02
18:50:00	68.69
18:55:00	71.74
19:00:00	72.48
19:05:00	75.56
19:10:00	70.39
19:15:00	74.28
19:20:00	74.44
19:25:00	69.28
19:30:00	71.03
19:35:00	69.96
19:40:00	72.96
19:45:00	74.15
19:50:00	72.22
19:55:00	71.35
20:00:00	78.34
20:05:00	72.71
20:10:00	75.07
20:15:00	73.76
20:20:00	76.6
20:25:00	75.66
20:30:00	75.8
20:35:00	73.36
20:40:00	76.0
20:45:00	70.64
20:50:00	74.15
20:55:00	72.37
21:00:00	74.26
21:05:00	76.35
21:10:00	75.44
21:15:00	73.86
21:20:00	71.75
21:25:00	70.0
21:30:00	71.03
21:35:00	72.47
21:40:00	77.19
21:45:00	69.81
21:50:00	78.73
21:55:00	71.81
22:00:00	70.01
22:05:00	76.3
22:10:00	73.49
22:15:00	75.98
22:20:00	76.25
22:25:00	67.06
22:30:00	71.99
22:35:00	73.13
22:40:00	70.42
22:45:00	69.81
22:50:00	74.78
22:55:00	72.79
23:00:00	73.13
23:05:00	73.76
23:10:00	72.58
23:15:00	74.34
23:20:00	68.98
23:25:00	68.41
23:30:00	72.23
23:35:00	70.17
23:40:00	71.71
23:45:00	69.67
23:50:00	70.08
23:55:00	67.15
