Hour	HRV (ms)
00:00:00	37.92
00:20:00	42.43
00:40:00	65.57
01:00:00	44.08
01:20:00	51.16
01:40:00	50.12
02:00:00	48.93
02:20:00	48.83
02:40:00	72.73
03:00:00	54.39
03:20:00	60.24
03:40:00	57.4
04:00:00	45.69
04:20:00	58.57
04:40:00	54.33
05:00:00	57.46
05:20:00	53.38
05:40:00	47.5
06:00:00	36.96
06:20:00	40.67
06:40:00	43.63
07:00:00	44.28
07:20:00	47.82
07:40:00	43.62
08:00:00	37.51
08:20:00	39.0
08:40:00	41.46
09:00:00	40.08
09:20:00	47.13
09:40:00	52.3
10:00:00	44.45
10:20:00	44.59
10:40:00	44.77
11:00:00	51.46
11:20:00	65.98
11:40:00	58.96
12:00:00	60.53
12:20:00	61.78
12:40:00	59.73
13:00:00	60.65
13:20:00	67.52
13:40:00	61.06
14:00:00	68.44
14:20:00	71.66
14:40:00	69.1
15:00:00	71.53
15:20:00	65.34
15:40:00	71.67
16:00:00	84.05
16:20:00	69.34
16:40:00	67.22
17:00:00	66.05
17:20:00	67.73
17:40:00	58.37
18:00:00	58.31
18:20:00	58.36
18:40:00	62.01
19:00:00	55.78
19:20:00	53.69
19:40:00	60.73
20:00:00	54.9
20:20:00	51.97
20:40:00	57.98
21:00:00	50.89
21:20:00	48.84
21:40:00	60.97
22:00:00	57.29
22:20:00	65.62
22:40:00	56.39
23:00:00	68.9
23:20:00	76.9
23:40:00	73.24
