Hour	HRV (ms)
00:00:00	40.77
00:20:00	33.37
00:40:00	63.11
01:00:00	53.1
01:20:00	52.13
01:40:00	57.78
02:00:00	40.38
02:20:00	51.02
02:40:00	47.21
03:00:00	59.73
03:20:00	56.43
03:40:00	49.22
04:00:00	56.88
04:20:00	53.22
04:40:00	56.64
05:00:00	62.76
05:20:00	46.09
05:40:00	49.85
06:00:00	39.89
06:20:00	43.48
06:40:00	55.57
07:00:00	44.82
07:20:00	40.69
07:40:00	45.15
08:00:00	36.99
08:20:00	38.76
08:40:00	39.02
09:00:00	39.69
09:20:00	44.23
09:40:00	44.37
10:00:00	49.92
10:20:00	45.56
10:40:00	48.11
11:00:00	53.38
11:20:00	54.0
11:40:00	48.86
12:00:00	52.63
12:20:00	48.36
12:40:00	61.7
13:00:00	64.93
13:20:00	57.12
13:40:00	73.39
14:00:00	75.03
14:20:00	63.17
14:40:00	94.12
15:00:00	71.65
15:20:00	69.29
15:40:00	64.89
16:00:00	73.09
16:20:00	70.1
16:40:00	64.43
17:00:00	56.79
17:20:00	67.61
17:40:00	65.03
18:00:00	54.67
18:20:00	59.68
18:40:00	63.74
19:00:00	55.3
19:20:00	55.78
19:40:00	58.68
20:00:00	58.55
20:20:00	52.51
20:40:00	61.74
21:00:00	59.28
21:20:00	44.2
21:40:00	79.81
22:00:00	61.91
22:20:00	57.07
22:40:00	64.74
23:00:00	66.69
23:20:00	60.49
23:40:00	69.76
