Hour	HRV (ms)
00:00:00	45.32
00:20:00	35.04
00:40:00	39.61
01:00:00	44.63
01:20:00	46.93
01:40:00	41.71
02:00:00	58.87
02:20:00	56.11
02:40:00	54.08
03:00:00	47.25
03:20:00	57.65
03:40:00	54.2
04:00:00	47.89
04:20:00	49.63
04:40:00	53.58
05:00:00	47.32
05:20:00	67.06
05:40:00	48.98
06:00:00	46.62
06:20:00	43.49
06:40:00	44.02
07:00:00	43.15
07:20:00	50.33
07:40:00	27.07
08:00:00	44.64
08:20:00	48.6
08:40:00	43.04
09:00:00	33.08
09:20:00	40.77
09:40:00	50.49
10:00:00	47.95
10:20:00	54.52
10:40:00	62.41
11:00:00	59.44
11:20:00	39.61
11:40:00	53.27
12:00:00	51.75
12:20:00	78.2
12:40:00	55.36
13:00:00	63.96
13:20:00	61.48
13:40:00	66.13
14:00:00	56.49
14:20:00	64.57
14:40:00	69.37
15:00:00	68.74
15:20:00	84.49
15:40:00	68.37
16:00:00	73.71
16:20:00	69.32
16:40:00	70.01
17:00:00	63.7
17:20:00	63.74
17:40:00	66.41
18:00:00	65.3
18:20:00	62.31
18:40:00	50.4
19:00:00	62.05
19:20:00	52.87
19:40:00	53.84
20:00:00	56.65
20:20:00	56.96
20:40:00	63.05
21:00:00	52.79
21:20:00	60.06
21:40:00	52.38
22:00:00	67.87
22:20:00	71.05
22:40:00	67.98
23:00:00	69.66
23:20:00	66.9
23:40:00	67.32
