Hour	HRV (ms)
00:00:00	42.51
00:20:00	41.28
00:40:00	48.02
01:00:00	41.54
01:20:00	49.69
01:40:00	49.84
02:00:00	45.04
02:20:00	66.02
02:40:00	52.12
03:00:00	45.53
03:20:00	47.21
03:40:00	52.24
04:00:00	49.73
04:20:00	51.58
04:40:00	53.92
05:00:00	54.67
05:20:00	48.89
05:40:00	46.71
06:00:00	50.52
06:20:00	71.43
06:40:00	45.0
07:00:00	37.17
07:20:00	47.62
07:40:00	44.69
08:00:00	36.44
08:20:00	32.11
08:40:00	40.68
09:00:00	37.42
09:20:00	48.67
09:40:00	55.71
10:00:00	42.41
10:20:00	46.26
10:40:00	48.52
11:00:00	49.54
11:20:00	55.03
11:40:00	53.85
12:00:00	60.35
12:20:00	63.15
12:40:00	58.42
13:00:00	61.94
13:20:00	57.94
13:40:00	67.7
14:00:00	70.84
14:20:00	64.61
14:40:00	89.08
15:00:00	58.36
15:20:00	70.02
15:40:00	63.03
16:00:00	69.42
16:20:00	67.23
16:40:00	61.59
17:00:00	68.86
17:20:00	68.85
17:40:00	67.73
18:00:00	57.74
18:20:00	60.38
18:40:00	61.75
19:00:00	57.15
19:20:00	59.01
19:40:00	57.94
20:00:00	51.32
20:20:00	47.08
20:40:00	56.51
21:00:00	60.02
21:20:00	55.34
21:40:00	67.8
22:00:00	71.05
22:20:00	64.55
22:40:00	65.24
23:00:00	68.99
23:20:00	76.39
23:40:00	71.56
